perturbation_label,n_cells_qc,n_cells_with_nonmissing_guide_id,n_unique_guide_strings,n_unique_guide_tokens,median_guide_tokens_per_cell,fraction_multi_token_cells,fraction_cells_containing_target_token,guide_id_missing_fraction,environment_key,status
TYR,255,255,10,10,1.0,0.027450980392156862,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
UBA52,15,15,1,1,1.0,0.0,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
UBC,75,75,5,5,1.0,0.02666666666666667,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
UBL5,7,7,2,2,1.0,0.0,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
UCN2,170,170,7,7,1.0,0.029411764705882353,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
UQCRFS1,108,108,4,4,1.0,0.009259259259259259,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
UQCRH,75,75,7,7,1.0,0.05333333333333334,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
VAT1,154,154,4,4,1.0,0.01948051948051948,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
VDAC2,235,235,8,7,1.0,0.02553191489361702,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
WBP2,225,225,3,3,1.0,0.0,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
WNT7A,189,189,5,5,1.0,0.010582010582010581,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
XAGE1A,141,141,4,4,1.0,0.014184397163120567,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
control,18192,10733,4498,781,1.0,0.2768249780123131,0.0,0.4100153913808267,frangieh_melanoma_coculture,audit_only_not_primary
A2M,374,374,216,350,2.0,0.6149732620320856,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ACSL3,183,183,113,226,2.0,0.6065573770491803,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ACTA2,407,407,243,337,2.0,0.6167076167076168,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
AEBP1,387,387,228,319,2.0,0.6098191214470284,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
AGA,318,318,178,277,2.0,0.5691823899371069,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
AHCY,33,33,26,78,2.0,0.696969696969697,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
AHNAK,320,320,171,242,2.0,0.55,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
APOC2,323,323,180,266,2.0,0.5727554179566563,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
APOD,304,304,180,292,2.0,0.6019736842105263,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
APOE,317,317,177,271,2.0,0.5615141955835962,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ARMC6,250,250,123,189,2.0,0.512,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ATP1A1,10,10,9,31,2.5,0.7,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ATP1B1,343,343,178,243,2.0,0.5393586005830904,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ATP5MD,151,151,9,8,1.0,0.039735099337748346,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
B2M,367,367,227,322,2.0,0.6403269754768393,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
BOLA2,171,171,86,157,2.0,0.5029239766081871,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
BOLA2B,203,203,110,175,2.0,0.5320197044334976,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
BZW2,280,280,146,243,2.0,0.525,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
C19orf48,303,303,158,227,2.0,0.5478547854785478,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
C1QBP,177,177,96,148,2.0,0.559322033898305,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
C6orf226,273,273,158,216,2.0,0.6043956043956044,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CCND1,201,201,117,175,2.0,0.572139303482587,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CCND2,278,278,177,248,2.0,0.6438848920863309,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CCR10,264,264,146,209,2.0,0.5681818181818182,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CCT3,52,52,27,46,1.5,0.5,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CCT6A,14,14,7,18,1.0,0.2857142857142857,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CD151,282,282,154,222,2.0,0.5602836879432624,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CD274,338,338,198,257,2.0,0.5857988165680473,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CD44,339,339,174,226,2.0,0.5339233038348082,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CD47,302,302,165,250,2.0,0.5695364238410596,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CD58,288,288,156,224,2.0,0.5590277777777778,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CD59,318,318,167,243,2.0,0.5314465408805031,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CD63,220,220,116,179,2.0,0.5363636363636364,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CDC123,88,88,47,64,2.0,0.5568181818181818,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CDH19,335,335,172,215,2.0,0.5343283582089552,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CDK4,240,240,118,184,1.0,0.48333333333333334,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CDK6,110,110,61,94,2.0,0.5454545454545454,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CDKN1A,296,296,149,204,2.0,0.5135135135135135,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CDKN2A,224,224,114,164,2.0,0.5178571428571429,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CDKN2B,255,255,121,172,1.0,0.4745098039215686,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CGAS,195,195,63,71,1.0,0.3282051282051282,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CHCHD2,255,255,112,162,1.0,0.45098039215686275,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CITED1,340,340,190,246,2.0,0.5705882352941176,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CKS1B,264,264,131,167,1.0,0.4962121212121212,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CMSS1,257,257,127,176,2.0,0.5175097276264592,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CORO1A,264,264,129,176,1.0,0.48863636363636365,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CSPG4,329,329,180,236,2.0,0.5653495440729484,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CST3,195,195,102,132,2.0,0.5230769230769231,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CTPS1,115,115,61,89,2.0,0.5130434782608696,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CTSA,284,284,135,188,1.0,0.4859154929577465,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CTSB,282,282,145,189,2.0,0.5283687943262412,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CTSD,330,330,149,188,1.0,0.4909090909090909,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CTSL,270,270,123,171,1.0,0.48518518518518516,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CTSO,299,299,131,156,1.0,0.4414715719063545,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CXCR4,204,204,98,132,1.0,0.4852941176470588,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
CYP27A1,279,279,130,183,1.0,0.4731182795698925,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
DAG1,246,246,124,155,2.0,0.5203252032520326,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
DDR1,210,210,97,121,1.0,0.47619047619047616,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
DDX17,222,222,111,151,2.0,0.5180180180180181,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
DDX39A,157,157,81,120,2.0,0.5222929936305732,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
DLL3,247,247,114,146,1.0,0.4979757085020243,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
DNAJC9,17,17,13,24,2.0,0.7058823529411765,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
DNMT1,84,84,35,50,1.0,0.39285714285714285,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
E2F1,167,167,71,91,1.0,0.41916167664670656,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
EEA1,183,183,77,103,1.0,0.4207650273224044,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
EEF1G,47,47,27,39,2.0,0.5531914893617021,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
EIF2S3,15,15,9,16,2.0,0.6,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
EIF3K,229,229,110,144,1.0,0.49344978165938863,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
EIF4A1,49,49,22,28,1.0,0.3877551020408163,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
EMP1,263,263,122,143,1.0,0.4866920152091255,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ENPP1,218,218,89,121,1.0,0.4036697247706422,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
EVA1A,216,216,105,146,1.0,0.49537037037037035,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FARSA,24,24,15,24,1.5,0.5,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FBL,96,96,45,62,1.0,0.4583333333333333,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FBXO32,249,249,126,160,2.0,0.5020080321285141,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FGFR1,319,319,151,170,1.0,0.4827586206896552,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FKBP4,192,192,85,107,1.0,0.4479166666666667,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FMN1,271,271,127,152,1.0,0.4797047970479705,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FOS,217,217,101,134,1.0,0.4608294930875576,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FOXM1,78,78,38,48,1.0,0.46153846153846156,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FRZB,194,194,83,110,1.0,0.4175257731958763,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FSTL3,278,278,118,146,1.0,0.4352517985611511,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
FTH1,37,37,22,28,2.0,0.5135135135135135,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
GAA,229,229,109,132,1.0,0.47161572052401746,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
GAS5,210,210,95,125,1.0,0.45714285714285713,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
GPATCH4,156,156,58,74,1.0,0.358974358974359,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
GPI,48,48,28,44,2.0,0.5208333333333334,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
GPNMB,209,209,83,118,1.0,0.39712918660287083,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
GRN,193,193,84,105,1.0,0.45595854922279794,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
GSEC,92,92,5,5,1.0,0.021739130434782608,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
GSN,276,276,111,137,1.0,0.40942028985507245,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HASPIN,128,128,68,90,2.0,0.53125,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HLA-A,255,255,98,117,1.0,0.39215686274509803,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HLA-B,145,145,47,56,1.0,0.32413793103448274,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HLA-C,162,162,72,94,1.0,0.42592592592592593,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HLA-DRB5,263,263,110,140,1.0,0.4296577946768061,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HLA-E,205,205,93,118,1.0,0.47804878048780486,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HLA-F,226,226,91,108,1.0,0.42920353982300885,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HLA-H,221,221,83,103,1.0,0.4072398190045249,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HNRNPA1,176,176,66,76,1.0,0.3693181818181818,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HNRNPC,66,66,30,40,1.0,0.4090909090909091,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
HSPA1A,200,200,77,93,1.0,0.385,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
IDH2,254,254,92,105,1.0,0.3779527559055118,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
IDI2-AS1,203,203,71,86,1.0,0.3497536945812808,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
IFNGR1,202,202,70,83,1.0,0.3415841584158416,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
IFNGR2,215,215,72,89,1.0,0.34418604651162793,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ILF2,52,52,21,24,1.0,0.38461538461538464,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
IRF3,198,198,69,89,1.0,0.3383838383838384,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
IRF4,173,173,73,96,1.0,0.41040462427745666,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ISYNA1,162,162,57,65,1.0,0.35185185185185186,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ITGA3,217,217,72,82,1.0,0.33640552995391704,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
JAK1,210,210,76,84,1.0,0.35714285714285715,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
JAK2,250,250,88,106,1.0,0.364,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
JMJD7,204,204,62,71,1.0,0.28921568627450983,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
JPT1,149,149,54,66,1.0,0.3422818791946309,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
KCNN4,192,192,72,95,1.0,0.375,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
KDR,200,200,71,79,1.0,0.355,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
KLF4,200,200,76,88,1.0,0.395,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
LAMP2,226,226,75,91,1.0,0.3495575221238938,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
LCP1,215,215,70,85,1.0,0.32558139534883723,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
LEF1-AS1,213,213,76,85,1.0,0.3427230046948357,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
LGALS3,186,186,62,75,1.0,0.34408602150537637,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
LGALS3BP,175,175,53,71,1.0,0.30857142857142855,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
LINC00518,200,200,66,81,1.0,0.335,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
LRPAP1,176,176,55,58,1.0,0.3068181818181818,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
LRRC75A-AS1,119,119,5,4,1.0,0.01680672268907563,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
LY96,190,190,71,75,1.0,0.4052631578947368,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
MC1R,195,195,61,71,1.0,0.31794871794871793,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
MDH2,164,164,46,62,1.0,0.2621951219512195,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
MFGE8,236,236,75,86,1.0,0.3135593220338983,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
MIA,167,167,60,64,1.0,0.3413173652694611,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
MRPL47,119,119,50,58,1.0,0.4117647058823529,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
MT2A,145,145,51,59,1.0,0.3448275862068966,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
MYC,40,40,12,13,1.0,0.225,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NACA,20,20,8,9,1.0,0.25,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NCL,45,45,18,23,1.0,0.3333333333333333,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NDUFA13,109,109,30,43,1.0,0.25688073394495414,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NEAT1,143,143,41,48,1.0,0.27972027972027974,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NGFR,165,165,48,56,1.0,0.2727272727272727,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NME1,156,156,45,56,1.0,0.28205128205128205,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NMRK1,210,210,68,74,1.0,0.3380952380952381,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NOLC1,82,82,27,33,1.0,0.3170731707317073,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NONO,166,166,46,57,1.0,0.2710843373493976,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NPC1,198,198,52,57,1.0,0.26262626262626265,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NPC2,171,171,49,56,1.0,0.29239766081871343,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NSG1,187,187,54,61,1.0,0.27807486631016043,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NT5E,247,247,70,72,1.0,0.2874493927125506,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
NUP50-AS1,153,153,3,3,1.0,0.0,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
P2RX4,95,95,28,29,1.0,0.29473684210526313,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PABPC1,57,57,18,19,1.0,0.2631578947368421,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PAICS,66,66,20,22,1.0,0.2727272727272727,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PET100,87,87,21,23,1.0,0.21839080459770116,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PFDN4,212,212,55,60,1.0,0.25471698113207547,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PFN1,87,87,24,29,1.0,0.2413793103448276,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PIK3IP1,158,158,47,52,1.0,0.27848101265822783,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
POLD2,44,44,15,14,1.0,0.2727272727272727,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PPA1,31,31,9,10,1.0,0.1935483870967742,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PPIA,149,149,42,44,1.0,0.28187919463087246,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PRELID3B,33,33,13,16,1.0,0.30303030303030304,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PROS1,166,166,54,58,1.0,0.3072289156626506,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PSAP,226,226,55,64,1.0,0.26548672566371684,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PSMA7,4,4,3,3,1.0,0.25,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PSMB8-AS1,161,161,37,43,1.0,0.2236024844720497,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PTMA,149,149,44,43,1.0,0.2751677852348993,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PUF60,55,55,12,14,1.0,0.18181818181818182,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
PYGB,172,172,41,52,1.0,0.23255813953488372,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RAB27A,163,163,34,35,1.0,0.19631901840490798,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RACK1,7,7,3,4,1.0,0.14285714285714285,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RB1,197,197,41,41,1.0,0.20304568527918782,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RBP7,164,164,39,37,1.0,0.21951219512195122,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RNASEH2A,92,92,25,25,1.0,0.29347826086956524,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RNF213,156,156,29,28,1.0,0.17307692307692307,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ROMO1,37,37,9,9,1.0,0.16216216216216217,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RPSA,69,69,16,21,1.0,0.2028985507246377,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RRS1,39,39,16,19,1.0,0.3333333333333333,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RTP4,209,209,42,46,1.0,0.21052631578947367,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
RUVBL2,19,19,7,7,1.0,0.2631578947368421,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
S100A6,157,157,36,42,1.0,0.21656050955414013,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
S100B,189,189,42,44,1.0,0.2222222222222222,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SAE1,22,22,4,4,1.0,0.045454545454545456,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SAT1,175,175,36,41,1.0,0.21714285714285714,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SCARB2,181,181,43,43,1.0,0.22099447513812154,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SDC3,165,165,35,35,1.0,0.20606060606060606,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SDCBP,180,180,34,39,1.0,0.18888888888888888,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SEC11C,181,181,35,34,1.0,0.19337016574585636,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SERPINA3,151,151,40,41,1.0,0.2582781456953642,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SERPINE2,143,143,31,37,1.0,0.21678321678321677,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SERPINF1,181,181,35,32,1.0,0.18232044198895028,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SET,123,123,18,18,1.0,0.13008130081300814,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SGK1,134,134,29,31,1.0,0.20149253731343283,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SHMT2,129,129,21,23,1.0,0.14728682170542637,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SINHCAF,102,102,51,70,1.0,0.47058823529411764,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SLC19A1,105,105,21,23,1.0,0.17142857142857143,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SLC22A18,209,209,45,48,1.0,0.20574162679425836,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SLC25A13,136,136,21,23,1.0,0.13970588235294118,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SLC26A2,166,166,31,29,1.0,0.18072289156626506,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SLC5A3,178,178,21,19,1.0,0.11235955056179775,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SLC7A5P1,144,144,21,20,1.0,0.13194444444444445,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SLIRP,131,131,22,20,1.0,0.1450381679389313,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SMAD3,176,176,24,26,1.0,0.125,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SMAD4,159,159,25,25,1.0,0.1509433962264151,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SNHG6,134,134,24,24,1.0,0.16417910447761194,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SNRPE,11,11,4,4,1.0,0.09090909090909091,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SNRPF,11,11,2,2,1.0,0.0,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SNRPG,19,19,6,9,1.0,0.2631578947368421,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SOX4,187,187,21,23,1.0,0.10160427807486631,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SP100,149,149,19,18,1.0,0.11409395973154363,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SPESP1,169,169,20,17,1.0,0.10059171597633136,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SPINT1,161,161,25,25,1.0,0.14285714285714285,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
SSR2,109,109,18,18,1.0,0.14678899082568808,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ST3GAL6-AS1,161,161,29,27,1.0,0.17391304347826086,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
ST6GALNAC2,117,117,18,18,1.0,0.1282051282051282,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
STAT1,124,124,17,18,1.0,0.11290322580645161,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
STAT3,134,134,15,15,1.0,0.08955223880597014,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
STOM,161,161,22,24,1.0,0.13664596273291926,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
STX7,147,147,15,14,1.0,0.08843537414965986,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TAPBP,141,141,20,17,1.0,0.1276595744680851,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TAPBPL,154,154,16,16,1.0,0.09090909090909091,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TFAP2A,135,135,15,18,1.0,0.0962962962962963,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TGFB1,181,181,21,20,1.0,0.09944751381215469,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TIMM50,104,104,15,16,1.0,0.125,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TIMP1,146,146,14,15,1.0,0.0821917808219178,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TIMP2,116,116,15,11,1.0,0.10344827586206896,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TIMP3,122,122,10,10,1.0,0.05737704918032787,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TM4SF1,158,158,14,15,1.0,0.0759493670886076,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TMED10,54,54,6,6,1.0,0.05555555555555555,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TMEM173,148,148,9,8,1.0,0.04054054054054054,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TOP1MT,144,144,9,10,1.0,0.041666666666666664,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TP53,140,140,4,4,1.0,0.007142857142857143,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TPP1,137,137,12,12,1.0,0.072992700729927,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TPRKB,48,48,6,6,1.0,0.0625,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TRIM22,111,111,8,8,1.0,0.04504504504504504,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
TSC22D3,181,181,15,14,1.0,0.0718232044198895,1.0,0.0,frangieh_melanoma_control,audit_only_not_primary
