prediction_id,biological_instance_id,environment_id,predictor,fidelity_delta_cosine,continuous_risk,reliable_label,legacy_transportability_label,legacy_target_risk
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rrm2__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rrm2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.021586735,0.4892066,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cdc27__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cdc27,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.001977234,0.5009886,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__kif11__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__kif11,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.23662098,0.3816895,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cacnb3__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cacnb3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.03260738,0.48369628,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nup98__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nup98,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.22809224,0.3859539,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pcf11__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pcf11,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.26628244,0.36685878,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ints2__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ints2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.44511965,0.2774402,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__uqcrc1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__uqcrc1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.20957255,0.39521372,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmg3__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmg3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.024685128,0.48765743,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rplp0__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rplp0,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.009661738,0.50483084,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__anapc15__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__anapc15,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.13330257,0.43334872,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__arpc4__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__arpc4,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.10192934,0.44903535,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl37a__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl37a,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.066167735,0.53308386,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ice1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ice1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.28051335,0.35974336,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cnot3__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cnot3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.29783827,0.3510809,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc39a9__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc39a9,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.13867372,0.4306631,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med12__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med12,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.5812081,0.20939595,1,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pmpcb__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pmpcb,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.20363852,0.39818072,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__orc1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__orc1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.20539744,0.39730126,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__srsf11__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__srsf11,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.188584,0.594292,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl18__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl18,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.14817949,0.42591023,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__timm23b__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__timm23b,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.43230146,0.28384924,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nup205__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nup205,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.21616776,0.3919161,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rps12__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rps12,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.2083663,0.60418314,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med10__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med10,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.25771928,0.37114036,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__smc4__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__smc4,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.035842612,0.5179213,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cdk1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cdk1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.15710846,0.4214458,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cadm4__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cadm4,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.025944607,0.4870277,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl34__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl34,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.0068852967,0.49655735,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__znf718__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__znf718,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.111080565,0.5555403,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hspa5__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hspa5,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.28801116,0.3559944,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nrde2__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nrde2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.27541825,0.36229086,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__snx15__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__snx15,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.04763902,0.4761805,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__sf3a1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__sf3a1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.070409834,0.5352049,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc1a5__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc1a5,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.042438444,0.52121925,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bub3__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bub3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.07389525,0.4630524,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__krr1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__krr1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.040122874,0.52006143,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__chmp6__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__chmp6,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.36462754,0.3176862,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cenpe__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cenpe,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.041829437,0.52091473,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__naglu__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__naglu,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.09774629,0.5488732,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hspa8__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hspa8,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.245334,0.377333,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__gab2__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__gab2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.30192333,0.34903836,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med22__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med22,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.40029076,0.29985464,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif3h__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif3h,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.11254042,0.44372982,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl24__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl24,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.02566916,0.51283455,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__exosc2__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__exosc2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.05158686,0.47420657,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif2b5__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif2b5,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.34994847,0.3250258,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bub1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bub1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.013257525,0.50662875,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif4g1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif4g1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.02190738,0.48904634,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__trrap__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__trrap,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.18732189,0.40633905,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmd6__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmd6,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.23170395,0.384148,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__urod__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__urod,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.055038545,0.4724807,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__sf3a2__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__sf3a2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.072423875,0.53621197,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med10__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med10,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.35465747,0.3226713,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med12__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med12,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.5119702,0.24401486,1,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__control__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__control,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.0,0.5,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ltv1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ltv1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.15349102,0.5767455,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__donson__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__donson,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.32373798,0.338131,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rps29__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rps29,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.10183343,0.55091673,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hnrnpc__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hnrnpc,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.20252225,0.39873886,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med22__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med22,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.40043575,0.29978216,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif4g1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif4g1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.07686496,0.46156752,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rmi1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rmi1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.0626109,0.53130543,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rars__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rars,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.17459998,0.4127,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bub3__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bub3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.122219294,0.43889034,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nup205__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nup205,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.033207644,0.5166038,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl10__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl10,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.01157555,0.5057878,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl37__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl37,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.13007994,0.43496,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc39a9__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc39a9,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.022576703,0.48871166,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__dph1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__dph1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.17016192,0.585081,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl3__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.03451095,0.5172555,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ndufab1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ndufab1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.26057726,0.3697114,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__phb2__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__phb2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.4621551,0.26892245,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__arglu1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__arglu1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.008327966,0.49583602,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__snx15__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__snx15,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.105448104,0.44727594,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psma4__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psma4,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.31470647,0.34264678,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__uba1__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__uba1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.06078438,0.46960783,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ddx47__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ddx47,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.061150853,0.5305754,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl18__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl18,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.04409993,0.47795004,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__trrap__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__trrap,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.18813321,0.40593338,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__srsf11__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__srsf11,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.14905575,0.57452786,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ncbp2__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ncbp2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,0.053976517,0.47301173,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__tsr2__mean-global__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__tsr2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,-0.10017357,0.5500868,0,-1.0,
